Time,hour,Energy_safe,P,Mainland_cost_safe,,TPAT,Price estimated,Real-Price,,Load shift potential 
2025/1/2 0:00,1,263.9917908,P6,0.974044919,,1.75799E-05,110.463385,179.8421444,,69.37875936
2025/1/2 0:15,1,266.8143005,P6,1.289809227,,1.75799E-05,144.7258673,179.8421444,,35.11627707
2025/1/2 0:30,1,267.0778198,P6,1.388841271,,1.75799E-05,155.684213,179.8421444,,24.15793137
2025/1/2 0:45,1,250.2858429,P6,1.448250651,,1.75799E-05,173.2356348,179.8421444,,6.606509571
2025/1/2 1:00,2,240.6734009,P6,1.547240019,,1.75799E-05,192.4683748,163.3054396,,-29.16293525
2025/1/2 1:15,2,248.0289612,P6,1.97592175,,1.75799E-05,238.5048044,163.3054396,,-75.19936481
2025/1/2 1:30,2,263.3003235,P6,2.119450569,,1.75799E-05,240.9914773,163.3054396,,-77.68603767
2025/1/2 1:45,2,278.8657532,P6,2.260967255,,1.75799E-05,242.7330283,163.3054396,,-79.42758865
2025/1/2 2:00,3,264.1549683,P6,2.237915754,,1.75799E-05,253.6382421,136.77066,,-116.8675821
2025/1/2 2:15,3,232.4745483,P6,2.119354486,,1.75799E-05,272.9342107,136.77066,,-136.1635507
2025/1/2 2:30,3,199.983429,P6,1.923178196,,1.75799E-05,287.9090393,136.77066,,-151.1383793
2025/1/2 2:45,3,190.4486084,P6,1.846933722,,1.75799E-05,290.3376062,136.77066,,-153.5669462
2025/1/2 3:00,4,174.4759064,P6,1.659867167,,1.75799E-05,284.8181465,136.785413,,-148.0327335
2025/1/2 3:15,4,163.1497955,P6,1.370751262,,1.75799E-05,251.5370162,136.785413,,-114.7516032
2025/1/2 3:30,4,164.4618225,P6,1.234585643,,1.75799E-05,224.7428624,136.785413,,-87.95744941
2025/1/2 3:45,4,161.1837311,P6,1.144505382,,1.75799E-05,212.5819659,136.785413,,-75.79655286
2025/1/2 4:00,5,160.3901062,P6,1.09932971,,1.75799E-05,205.2013316,136.772827,,-68.42850456
2025/1/2 4:15,5,159.2127228,P6,1.112239599,,1.75799E-05,209.1463878,136.772827,,-72.37356076
2025/1/2 4:30,5,135.0612793,P6,1.041237831,,1.75799E-05,230.8069405,136.772827,,-94.03411353
2025/1/2 4:45,5,127.4836273,P6,1.031665206,,1.75799E-05,242.2780983,136.772827,,-105.5052713
2025/1/2 5:00,6,130.4629822,P6,1.029860973,,1.75799E-05,236.3312128,136.1354831,,-100.1957297
2025/1/2 5:15,6,120.7455063,P6,1.01892066,,1.75799E-05,252.6382915,136.1354831,,-116.5028084
2025/1/2 5:30,6,128.4325256,P6,1.046289325,,1.75799E-05,243.8970546,136.1354831,,-107.7615715
2025/1/2 5:45,6,119.3721161,P6,1.036335349,,1.75799E-05,259.9125223,136.1354831,,-123.7770392
2025/1/2 6:00,7,140.2608643,P6,1.112479568,,1.75799E-05,237.4571861,173.4151086,,-64.04207747
2025/1/2 6:15,7,155.4193115,P6,1.180662394,,1.75799E-05,227.4314572,173.4151086,,-54.01634856
2025/1/2 6:30,7,181.5366516,P6,1.248794436,,1.75799E-05,205.9474499,173.4151086,,-32.53234134
2025/1/2 6:45,7,205.8948364,P6,1.351621747,,1.75799E-05,196.5348176,173.4151086,,-23.11970896
2025/1/2 7:00,8,219.4902649,P6,1.379130006,,1.75799E-05,188.1133984,186.6742616,,-1.439136786
2025/1/2 7:15,8,230.0849762,P6,1.416382909,,1.75799E-05,184.2986697,186.6742616,,2.375591912
2025/1/2 7:30,8,242.4927216,P6,1.444887996,,1.75799E-05,178.3878452,186.6742616,,8.286416399
2025/1/2 7:45,8,253.3311462,P6,1.452089787,,1.75799E-05,171.6068688,186.6742616,,15.06739285
2025/1/2 8:00,9,262.3613281,P2,1.464066863,,0.000282106,10.41105914,220.6625717,,210.2515126
2025/1/2 8:15,9,278.9111633,P2,1.484136581,,0.000282106,9.927543429,220.6625717,,210.7350283
2025/1/2 8:30,9,296.088501,P2,1.536711097,,0.000282106,9.682879093,220.6625717,,210.9796926
2025/1/2 8:45,9,317.4108276,P2,1.703694463,,0.000282106,10.01391262,220.6625717,,210.6486591
2025/1/2 9:00,10,317.4651489,P2,1.681939602,,0.000282106,9.8843511,219.7911881,,209.906837
2025/1/2 9:15,10,301.0380554,P2,1.684701681,,0.000282106,10.4408398,219.7911881,,209.3503483
